#PatternID,GP2_request_pattern,L1PA_SPR,sequenceElementID
0,00000,0,0
1,10000,2,0
2,01000,1,0
3,00100,0,0
4,00010,1,0
5,00001,0,0
6,11000,1,0
6,11000,2,1
7,10100,2,0
8,10010,4,0
9,10001,0,0
9,10001,2,1
10,01100,0,0
10,01100,1,1
11,01010,1,0
12,01001,3,0
13,00110,0,0
13,00110,1,1
14,00101,0,0
15,00011,0,0
15,00011,1,1
16,11100,1,0
16,11100,2,1
17,11010,1,0
17,11010,2,1
18,11001,2,0
18,11001,3,1
19,10110,0,0
19,10110,4,1
20,10101,0,0
20,10101,2,1
21,10011,0,0
21,10011,4,1
22,01110,0,0
22,01110,1,1
23,01101,0,0
23,01101,1,1
24,01011,0,0
24,01011,1,1
25,00111,0,0
25,00111,1,1
26,11110,1,0
26,11110,2,1
27,11101,2,0
27,11101,3,1
28,11011,3,0
28,11011,4,1
29,10111,0,0
29,10111,4,1
30,01111,0,0
30,01111,1,1
31,11111,0,0
31,11111,1,1
31,11111,2,2
